,name,location,type,adname,address
0,升华园,"116.726693,23.388433",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,紫虹南街与紫虹西街交叉口南20米
1,才标鱼场,"116.709872,23.425200",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,兴安路万裕金鱼养殖基地c4
2,小程园艺,"116.751265,23.366279",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,金砂东路丰华花园东北侧
3,大伟农场,"116.723599,23.363889",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,丹霞庄中区24栋
4,龙盛印刷,"116.717772,23.376479",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,龙湖工业区E1栋1层
5,阿尾鱼苗场,"116.783444,23.359922",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,中山东路
6,五常市绿洲米业有限公司,"116.723650,23.425999",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,泰山北路(汕头粤东粮食交易批发市场东侧)
7,阳光牧场,"116.721038,23.361443",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,长平路98号群光广场F3
8,外砂狮头鹅种鹅场,"116.762719,23.443194",公司企业;农林牧渔基地;家禽养殖基地,龙湖区,662乡道附近
9,和易养殖场,"116.703420,23.406662",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,欧下码头向北120米
10,毅轩花木场,"116.751569,23.366357",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,金砂东路丰华花园东侧约40米
11,叶子农业科普园,"116.769354,23.380577",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,
12,老洪园林,"116.764814,23.370618",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,金砂东路金津桥旁四季春花市大门往里56米
13,韩江锦鲤养殖场,"116.709291,23.424656",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,南安街与龟桥南路交叉口西北100米
14,森野星空牧场,"116.773170,23.386388",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,新海桑葚园
15,启韵园林,"116.764946,23.371643",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,金砂东路辅路与404乡道交叉口西约140米
16,润兴园生态农业,"116.730518,23.437426",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,溪西村
17,波波幸福农场,"116.771820,23.388163",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,津东路路侧
18,华记蔬菜基地,"116.787959,23.378861",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,新海街道十一合村太湖路东南一路2号
19,庄盛丰农园,"116.778009,23.421641",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,新溪镇北中村田片沙路上下
20,立农立耕文化,"116.724344,23.439153",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,渔五路与铁洲防汛路交叉口西240米
21,曦农庄,"116.730511,23.437441",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,铁洲防汛路与乐裕街交叉口东南400米
22,物元农场,"116.747348,23.355938",公司企业;农林牧渔基地;其它农林牧渔基地,龙湖区,乐业街龙光·尚海阳光
