ID,name,location,type,adname,address,X,Y
0,汕头超声印制板(二厂)有限公司,"116.712840,23.424630",公司企业;公司;冶金化工,龙湖区,泰山北路万吉工业区龙江路12号超声工业园区,116.71284,23.42463
1,兄弟化学品,"116.724271,23.421511",公司企业;公司;冶金化工,龙湖区,火车北站折返段内兄弟大楼,116.724271,23.421511
2,摩根冶金实业有限公司,"116.704539,23.426943",公司企业;公司;冶金化工,龙湖区,万吉工业区万吉北街3号,116.704539,23.426943
3,裕丰石材新厂,"116.764274,23.361275",公司企业;公司;冶金化工,龙湖区,永益街(永安大楼北侧),116.764274,23.361275
4,金平化工,"116.737739,23.380816",公司企业;公司;冶金化工,龙湖区,长江路龙都锦园10幢,116.737739,23.380816
5,定记食品厂,"116.756474,23.384792",公司企业;公司;冶金化工,龙湖区,珠津工业区韶山路261号首层厂房,116.756474,23.384792
6,泽益不锈钢加工厂,"116.761088,23.367097",公司企业;公司;冶金化工,龙湖区,南宁街南山居委文化广场西侧约30米,116.761088,23.367097
7,金诚石材厂,"116.729115,23.390299",公司企业;公司;冶金化工,龙湖区,嵩山路嵩山大厦北侧约60米,116.729115,23.390299
8,懿梦门窗厂,"116.760931,23.395007",公司企业;公司;冶金化工,龙湖区,高新中街西段与泽塭街交叉路口往东约270米,116.760931,23.395007
9,汕头市潮能化工有限公司,"116.723660,23.380477",公司企业;公司;冶金化工,龙湖区,天山路66号华星大厦13层,116.72366,23.380477
10,阿杰后整厂,"116.747743,23.438217",公司企业;公司;冶金化工,龙湖区,蓬发大道金双喜隔壁停车场2楼,116.747743,23.438217
11,新博化工,"116.767803,23.400793",公司企业;公司;冶金化工,龙湖区,昆仑山路下三合小学北侧约200米,116.767803,23.400793
12,丰达食品厂,"116.776340,23.382329",公司企业;公司;冶金化工,龙湖区,新溪街道新兴路68号1幢1楼北侧,116.77634,23.382329
13,三宝绣品厂,"116.717590,23.376630",公司企业;公司;冶金化工,龙湖区,练江南路9号,116.71759,23.37663
