,name,location,type,adname,address
0,创美药业股份有限公司,"116.724256,23.403365",公司企业;公司;医药公司,龙湖区,嵩山北路官埭尾路段235号
1,仙乐健康科技股份有限公司(龙湖区分公司),"116.748658,23.376308",公司企业;公司;医药公司,龙湖区,珠池街道黄山路珠业南街11号
2,汕头市美宝制药有限公司,"116.760307,23.383529",公司企业;公司;医药公司,龙湖区,珠津工业区玉津南路13号
3,广东申盛药业,"116.752851,23.363742",公司企业;公司;医药公司,龙湖区,长平东路与丰泰东街交叉口北180米
4,华麦医疗,"116.725325,23.366181",公司企业;公司;医药公司,龙湖区,金砂东路汕融大厦西梯1层
5,陆泰医用材料厂,"116.720515,23.407171",公司企业;公司;医药公司,龙湖区,金新北路26号(中医药斜对面)
6,广东泰恩康,"116.742673,23.395642",公司企业;公司;医药公司,龙湖区,浦江路48号1栋2楼
7,汕头市鸿基药业有限公司,"116.772128,23.379678",公司企业;公司;医药公司,龙湖区,新溪镇西南村新兴路西片区中1路37巷3号
8,广东泰恩康制药厂有限公司,"116.741802,23.395277",公司企业;公司;医药公司,龙湖区,浦江路与联兴路交叉口西南40米
9,广东安特药业有限公司,"116.724149,23.367942",公司企业;公司;医药公司,龙湖区,榕江路环碧花园1-8幢129号铺
10,华润汕头康威医药有限公司,"116.761016,23.378133",公司企业;公司;医药公司,龙湖区,"珠津一横街2号亿能工业园厂房侯工楼1层,5-6层,7层703-704-705房"
11,汕头市康泽药业有限公司,"116.728373,23.361784",公司企业;公司;医药公司,龙湖区,长平路韩江大厦8层
12,兴华牙科医疗器械有限公司,"116.762455,23.391586",公司企业;公司;医药公司,龙湖区,辛厝寮工业区玉山路9号
13,国药集团汕头金石制药有限公司,"116.752587,23.36547",公司企业;公司;医药公司,龙湖区,泰山路36号
14,仙乐健康,"116.751414,23.385176",公司企业;公司;医药公司,龙湖区,泰山路83号
15,广东通用医药(粤东)有限公司仓库,"116.702849,23.421820",公司企业;公司;医药公司,龙湖区,沿江路8号万吉工业区D之B区
16,汕头普罗凯融生物医药科技有限公司,"116.717322,23.428406",公司企业;公司;医药公司,龙湖区,泰山北路164号
17,汕头市泰恩康医用器材厂有限公司,"116.714937,23.420368",公司企业;公司;医药公司,龙湖区,泰山北路南二街8号万吉工业区
18,汕头市元康医药有限公司,"116.746813,23.364319",公司企业;公司;医药公司,龙湖区,荣兴大厦20层2005
19,汕头经济特区明治医药有限公司,"116.754883,23.384645",公司企业;公司;医药公司,龙湖区,珠津工业区韶山路9号
20,汕头经济特区鮀滨制药厂,"116.757973,23.379061",公司企业;公司;医药公司|公司企业;工厂;工厂,龙湖区,珠津工业区韶山路151号
21,广东通用医药粤东有限公司,"116.757331,23.385073",公司企业;公司;医药公司,龙湖区,珠津工业区珠津一街3号凯撒工业城新楼601
22,汕头高新区华天药业有限公司,"116.716104,23.384072",公司企业;公司;医药公司,龙湖区,高新区科技西路8号
23,汕头市康来药业有限公司,"116.728373,23.361784",公司企业;公司;医药公司,龙湖区,长平路韩江大厦8层
24,广东泰恩康医药股份有限公司,"116.714669,23.42088",公司企业;公司;医药公司,龙湖区,泰山北路南二街8号万吉工业区
25,广东万年青制药股份有限公司,"116.677002,23.403935",公司企业;公司;医药公司,金平区,潮汕路金园工业区16片区08号
26,广东汇群中药饮片股份有限公司,"116.676522,23.394275",公司企业;公司;医药公司,金平区,潮汕路金园工业区6B3-2
27,汕头亚联药业有限公司,"116.67928,23.393228",公司企业;公司;医药公司,金平区,金园工业城4A3-2片区
28,广东太安堂药业股份有限公司,"116.680468,23.396092",公司企业;公司;医药公司,金平区,潮汕路金园工业区
29,汕头经济特区药材公司,"116.670376,23.366413",公司企业;公司;医药公司,金平区,光华路36号
30,汕头市华新医疗器械有限公司,"116.713609,23.365953",公司企业;公司;医药公司,金平区,金砂路86友谊国际大厦10层F
31,汕头医药贸易中心,"116.696832,23.364028",公司企业;公司;医药公司,金平区,华侨新村路22号
32,广东皮宝制药有限公司,"116.682606,23.399374",公司企业;公司;医药公司,金平区,潮汕路金园工业城13-07/13-08片区西南方向53米
33,汕头市德众药业有限公司,"116.677314,23.373840",公司企业;公司;医药公司,金平区,东升路新发园
34,凯宏医疗器械,"116.715618,23.356478",公司企业;公司;医药公司,金平区,中山路148号金源大厦甲座西梯5层
35,广东恒德药业有限公司,"116.663412,23.395696",公司企业;公司;医药公司,金平区,升业路26号
36,潮星药业,"116.713601,23.365985",公司企业;公司;医药公司,金平区,金砂路友谊大厦7层
37,汕头医药集团公司,"116.696518,23.363947",公司企业;公司;医药公司,金平区,华侨新村路22号
38,广东崇欣药业有限公司,"116.687931,23.399047",公司企业;公司;医药公司,金平区,南澳路寨头路段五号楼
39,恒峰医疗,"116.682706,23.355319",公司企业;公司;医药公司,金平区,外马路151号汕头商厦10楼
40,汕头市社福医疗器械有限公司,"116.699535,23.362084",公司企业;公司;医药公司,金平区,长平路29-05号
41,方凯医学,"116.691342,23.355413",公司企业;公司;医药公司,金平区,外马路与乔林路交叉口东40米
