,name,location,type,adname,address
0,海景花园(朝阳北街),"116.727503,23.364626",商务住宅;住宅区;住宅小区|公司企业;公司;建筑公司,龙湖区,长平路朝阳庄
1,汕头市龙华建筑总公司,"116.727901,23.368804",公司企业;公司;建筑公司,龙湖区,天山路18号
2,汕头市展彩地坪建筑工程有限公司,"116.725497,23.374361",公司企业;公司;建筑公司,龙湖区,天山路绿园大厦公寓第八层D单元
3,广东兴业建设有限公司,"116.718195,23.367022",公司企业;公司;建筑公司,龙湖区,金砂路101号长荣大厦13层C
4,汕头公路桥梁第三工程公司,"116.749439,23.371568",公司企业;公司;建筑公司,龙湖区,银安花园(珠池路南)
5,和晖建设,"116.753551,23.363749",公司企业;公司;建筑公司,龙湖区,泰山南路基业大厦1楼
6,今向建筑设计有限公司,"116.719687,23.384140",公司企业;公司;建筑公司,龙湖区,科技中路11号经发大厦B座3楼302
7,铭科建设,"116.723868,23.383942",公司企业;公司;建筑公司,龙湖区,天山路67号美伦大厦中梯706
8,博唯建筑,"116.729812,23.352825",公司企业;公司;建筑公司,龙湖区,联泰时代总部中心T2栋东梯6层
9,中国建筑第四工程,"116.719896,23.371084",公司企业;公司;建筑公司,龙湖区,龙湖北路与龙华街交叉口西60米
10,华青建筑,"116.751824,23.436342",公司企业;公司;建筑公司,龙湖区,外砂迎宾路锦骏丰达雅居
11,广东异翼设计中心,"116.764350,23.339575",公司企业;公司;建筑公司,龙湖区,泰星路东海岸大道中环君悦海湾9栋商铺121
12,正沅建设,"116.720345,23.380255",公司企业;公司;建筑公司,龙湖区,大南山路18号糖烟酒大厦停车场入口白色5楼
13,达濠市政建设有限公司,"116.752913,23.376763",公司企业;公司;建筑公司,龙湖区,泰山路61号汕头汽车客运中心站候车厅二楼06号
14,百芝冠建筑,"116.728080,23.390365",公司企业;公司;建筑公司,龙湖区,紫虹中街与紫虹西街交叉口东北20米
15,西朗奥建设,"116.739510,23.381033",公司企业;公司;建筑公司,龙湖区,长江路与庐山南路交叉口西80米
16,佳众建筑工程有限公司,"116.778034,23.394051",公司企业;公司;建筑公司,龙湖区,新溪镇八合市场D幢18号
