ID,name,location,type,adname,address,X,Y
0,海景花园(朝阳北街),"116.727503,23.364626",商务住宅;住宅区;住宅小区|公司企业;公司;建筑公司,龙湖区,长平路朝阳庄,116.727503,23.364626
1,汕头市龙华建筑总公司,"116.727901,23.368804",公司企业;公司;建筑公司,龙湖区,天山路18号,116.727901,23.368804
2,汕头市展彩地坪建筑工程有限公司,"116.725497,23.374361",公司企业;公司;建筑公司,龙湖区,天山路绿园大厦公寓第八层D单元,116.725497,23.374361
3,广东兴业建设有限公司,"116.718195,23.367022",公司企业;公司;建筑公司,龙湖区,金砂路101号长荣大厦13层C,116.718195,23.367022
4,汕头公路桥梁第三工程公司,"116.749439,23.371568",公司企业;公司;建筑公司,龙湖区,银安花园(珠池路南),116.749439,23.371568
5,和晖建设,"116.753551,23.363749",公司企业;公司;建筑公司,龙湖区,泰山南路基业大厦1楼,116.753551,23.363749
6,今向建筑设计有限公司,"116.719687,23.384140",公司企业;公司;建筑公司,龙湖区,科技中路11号经发大厦B座3楼302,116.719687,23.38414
7,铭科建设,"116.723868,23.383942",公司企业;公司;建筑公司,龙湖区,天山路67号美伦大厦中梯706,116.723868,23.383942
8,博唯建筑,"116.729812,23.352825",公司企业;公司;建筑公司,龙湖区,联泰时代总部中心T2栋东梯6层,116.729812,23.352825
9,中国建筑第四工程,"116.719896,23.371084",公司企业;公司;建筑公司,龙湖区,龙湖北路与龙华街交叉口西60米,116.719896,23.371084
10,华青建筑,"116.751824,23.436342",公司企业;公司;建筑公司,龙湖区,外砂迎宾路锦骏丰达雅居,116.751824,23.436342
11,广东异翼设计中心,"116.764350,23.339575",公司企业;公司;建筑公司,龙湖区,泰星路东海岸大道中环君悦海湾9栋商铺121,116.76435,23.339575
12,正沅建设,"116.720345,23.380255",公司企业;公司;建筑公司,龙湖区,大南山路18号糖烟酒大厦停车场入口白色5楼,116.720345,23.380255
13,达濠市政建设有限公司,"116.752913,23.376763",公司企业;公司;建筑公司,龙湖区,泰山路61号汕头汽车客运中心站候车厅二楼06号,116.752913,23.376763
14,百芝冠建筑,"116.728080,23.390365",公司企业;公司;建筑公司,龙湖区,紫虹中街与紫虹西街交叉口东北20米,116.72808,23.390365
15,西朗奥建设,"116.739510,23.381033",公司企业;公司;建筑公司,龙湖区,长江路与庐山南路交叉口西80米,116.73951,23.381033
16,佳众建筑工程有限公司,"116.778034,23.394051",公司企业;公司;建筑公司,龙湖区,新溪镇八合市场D幢18号,116.778034,23.394051
17,正奕建设,"116.771704,23.345835",公司企业;公司;建筑公司,龙湖区,御海阳光花园北区101号商铺,116.771704,23.345835
18,椒图建筑,"116.785463,23.374191",公司企业;公司;建筑公司,龙湖区,新海街道十一合乡四围北路南五巷三号,116.785463,23.374191
19,建设集团(黄河路),"116.718499,23.381181",公司企业;公司;建筑公司,龙湖区,金霞街道黄河路17号,116.718499,23.381181
20,汕头市汕龙建设有限公司,"116.732975,23.389640",公司企业;公司;建筑公司,龙湖区,浦江路南16号B栋7楼,116.732975,23.38964
21,汕头市和跃科技有限公司,"116.772888,23.374905",公司企业;公司;建筑公司,龙湖区,广东省汕头市龙湖区新溪镇西南村下十合陇尾4巷12号,116.772888,23.374905
22,金湖建筑有限公司,"116.723125,23.371971",公司企业;公司;建筑公司,龙湖区,龙湖北路龙湖新村8栋2楼,116.723125,23.371971
23,广东汕坤电力,"116.754190,23.376172",公司企业;公司;建筑公司,龙湖区,站前南路B13号,116.75419,23.376172
24,汕头市长盛公司,"116.797443,23.390557",公司企业;公司;建筑公司,龙湖区,东升村大十合,116.797443,23.390557
25,金湖建筑公司,"116.755755,23.445280",公司企业;公司;建筑公司,龙湖区,324国道西150米,116.755755,23.44528
26,千秋健建筑,"116.787464,23.386700",公司企业;公司;建筑公司,龙湖区,金鸿大道六份小学东北侧约290米,116.787464,23.3867
27,正宏建筑装饰工程有限公司,"116.765247,23.355562",公司企业;公司;建筑公司,龙湖区,珠池街道永安社区南安街一巷14号,116.765247,23.355562
28,汕头市东建混凝土有限公司,"116.743599,23.432310",公司企业;公司;建筑公司,龙湖区,外砂街道乐阳西路外砂收费站东北200米,116.743599,23.43231
29,广东中祥建设工程有限公司,"116.760073,23.366880",公司企业;公司;建筑公司,龙湖区,内充公南宁街二巷45号301,116.760073,23.36688
30,广东集木建筑劳务有限公司,"116.724184,23.437365",公司企业;公司;建筑公司,龙湖区,鸥汀街道蔡社东丰二三片之一,116.724184,23.437365
31,广东丰泰盛建筑工程有限公司,"116.725785,23.380953",公司企业;公司;建筑公司,龙湖区,黄河路万商大厦3栋708单元,116.725785,23.380953
32,深圳市环诚建设工程有限公司,"116.752061,23.361867",公司企业;公司;建筑公司,龙湖区,长平东路龙光阳光海岸,116.752061,23.361867
33,顺风建筑规划设计汕头分公司,"116.725380,23.381990",公司企业;公司;建筑公司,龙湖区,黄河路42号万商大厦一座西梯13楼1307-1308室,116.72538,23.38199
34,汕头市和璞建筑工程有限公司,"116.746799,23.372300",公司企业;公司;建筑公司,龙湖区,珠池路63号701房之二,116.746799,23.3723
35,汕头市创泽建筑工程有限公司,"116.793470,23.394047",公司企业;公司;建筑公司,龙湖区,新海街道东南村长兴路,116.79347,23.394047
36,汕头达安金鸿建筑咨询有限公司,"116.724214,23.383947",公司企业;公司;建筑公司,龙湖区,天山南路美仑大厦东梯6楼606,116.724214,23.383947
37,广东联丰建设实业有限公司,"116.740324,23.400044",公司企业;公司;建筑公司,龙湖区,泰山中路109号附近,116.740324,23.400044
38,汕头市广泰建筑有限公司办事处,"116.752221,23.361892",公司企业;公司;建筑公司,龙湖区,长平东路与丰泰东街交叉口西60米,116.752221,23.361892
39,广东省电白建筑集团有限公司,"116.731953,23.371269",公司企业;公司;建筑公司,龙湖区,衡山路20号,116.731953,23.371269
40,广东天天建设有限公司汕头分公司,"116.763656,23.366000",公司企业;公司;建筑公司,龙湖区,珠池街道南片工业区A10,116.763656,23.366
41,汕头市五山建筑材料有限公司,"116.723289,23.403657",公司企业;公司;建筑公司,龙湖区,龙祥街道如龙居委嵩山路与东厦北路交界,116.723289,23.403657
42,汕头市泽宇建筑劳务有限公司,"116.756815,23.363707",公司企业;公司;建筑公司,龙湖区,中河街28号阳光雅轩楼下,116.756815,23.363707
43,汕头市锦烁装饰工程有限公司,"116.753764,23.375776",公司企业;公司;建筑公司,龙湖区,珠业南街与泰山南路交叉路口往东约100米,116.753764,23.375776
44,广东中广汇建设投资有限公司,"116.754709,23.376769",公司企业;公司;建筑公司,龙湖区,南方商贸广场B区236号(泰山路客运中心正后方),116.754709,23.376769
45,广东顺隆机电设备安装工程有限公司,"116.774132,23.369412",公司企业;公司;建筑公司,龙湖区,新海街道西南村南兴园19巷7号,116.774132,23.369412
46,汕头携众建筑工程咨询有限公司,"116.720902,23.379297",公司企业;公司;建筑公司,龙湖区,大南山路14号K3二层东之一,116.720902,23.379297
47,汕头市金新建筑工程公司综合处,"116.716308,23.368584",公司企业;公司;建筑公司,龙湖区,迎宾路4号建设大厦5层,116.716308,23.368584
48,汕头市市政工程总公司第四公司,"116.727092,23.371504",公司企业;公司;建筑公司,龙湖区,天山路27号奋达大厦,116.727092,23.371504
49,汕头市大立工程咨询有限公司,"116.738590,23.368560",公司企业;公司;建筑公司,龙湖区,嵩山路珠池大厦7层,116.73859,23.36856
50,广东中房工程造价事务所有限公司(汕头分公司),"116.714911,23.373358",公司企业;公司;建筑公司,龙湖区,大北山路3号财审大楼,116.714911,23.373358
51,广东骏隆消防工程有限公司,"116.727395,23.365758",公司企业;公司;建筑公司,龙湖区,朝阳庄奋发园主楼2801号房,116.727395,23.365758
52,汕头市君悦地产有限公司,"116.724422,23.383789",公司企业;公司;建筑公司|生活服务;中介机构;中介机构,龙湖区,天山路65号衡山庄蓬勃花园28幢,116.724422,23.383789
53,梅州市市政建设总公司汕头项目部,"116.718299,23.367948",公司企业;公司;建筑公司,龙湖区,榕江路4号金华大厦12层,116.718299,23.367948
54,汕头市建筑工程总公司,"116.694171,23.358675",公司企业;公司;建筑公司,金平区,中山路62号,116.694171,23.358675
55,广东省第二建筑工程有限公司,"116.692147,23.358679",公司企业;公司;建筑公司,金平区,中山路54号,116.692147,23.358679
56,汕头市金海建筑总公司,"116.696397,23.378009",公司企业;公司;建筑公司,金平区,汕樟路127号2楼,116.696397,23.378009
57,南源建筑公司,"116.712222,23.373762",公司企业;公司;建筑公司,金平区,水仙园25栋,116.712222,23.373762
58,汕头市路桥建设总公司,"116.700789,23.367597",公司企业;公司;建筑公司,金平区,金新路50号,116.700789,23.367597
59,中环建设监理,"116.715481,23.358107",公司企业;公司;建筑公司,金平区,金环路6号中环大厦5层,116.715481,23.358107
60,汕头市住宅建筑工程公司,"116.701284,23.361886",公司企业;公司;建筑公司,金平区,长平路26号,116.701284,23.361886
61,金东建筑公司,"116.713954,23.396685",公司企业;公司;建筑公司,金平区,金新北路广厦青蓝幼儿园东北侧,116.713954,23.396685
62,汕头市第五建安总公司,"116.672675,23.383425",公司企业;公司;建筑公司,金平区,大学路36号,116.672675,23.383425
63,汕头市粤建工程造价咨询有限公司,"116.715698,23.357313",公司企业;公司;建筑公司,金平区,中山路213号汕头市建委大楼,116.715698,23.357313
64,鮀岛建筑公司,"116.678516,23.372405",公司企业;公司;建筑公司,金平区,光华路101号,116.678516,23.372405
65,佑松房地产开发有限公司,"116.684934,23.354644",公司企业;公司;建筑公司,金平区,博爱路5号广场花园1栋,116.684934,23.354644
66,中美建筑设计院有限公司汕头分公司,"116.715698,23.357313",公司企业;公司;建筑公司,金平区,中山路213号汕头市建委大楼,116.715698,23.357313
67,盈通建设,"116.648920,23.407114",公司企业;公司;建筑公司,金平区,大学路235号洪运车行隔壁停车场内,116.64892,23.407114
68,衍宇建筑设计,"116.703575,23.391967",公司企业;公司;建筑公司,金平区,华山北路与汕樟路交叉口东南160米,116.703575,23.391967
69,诚致建筑,"116.717459,23.401038",公司企业;公司;建筑公司,金平区,乐山路与金新北路交叉口东南140米,116.717459,23.401038
70,广东省二建公司第十五工程处,"116.690967,23.369366",公司企业;公司;建筑公司,金平区,大华路97号6座,116.690967,23.369366
71,汕头同平建设(集团)公司,"116.675038,23.362818",公司企业;公司;建筑公司,金平区,乌桥街道乌桥街道二马路247号,116.675038,23.362818
72,汕头市第四建设总公司,"116.715574,23.362327",公司企业;公司;建筑公司,金平区,长平路93华乾大厦,116.715574,23.362327
73,达濠市政建设有限公司,"116.620629,23.372137",公司企业;公司;建筑公司,金平区,鮀济南路好家具对面,116.620629,23.372137
74,广东科能建筑设计有限公司,"116.680760,23.352391",公司企业;公司;建筑公司,金平区,跃进路23号利鸿基中心大厦B座2楼,116.68076,23.352391
75,汕头市昇平区蓬洲建筑公司,"116.653466,23.410083",公司企业;公司;建筑公司,金平区,蓬洲学校路与庵曲公路交叉口北20米,116.653466,23.410083
76,汕头市驰兴越建设有限公司,"116.655698,23.395913",公司企业;公司;建筑公司,金平区,驰兴越建越有限公司,116.655698,23.395913
77,汕头崇泰建筑工程有限公司,"116.654632,23.399655",公司企业;公司;建筑公司,金平区,大学路184号,116.654632,23.399655
78,汕头市鮀岛建筑有限公司,"116.678514,23.372507",公司企业;公司;建筑公司,金平区,光华路太安医院东侧,116.678514,23.372507
79,汕头市科捷建筑工程有限公司,"116.672236,23.351151",公司企业;公司;建筑公司,金平区,至平路57号三楼,116.672236,23.351151
80,广东省第二建筑工程公司第六工程处,"116.676863,23.362288",公司企业;公司;建筑公司,金平区,北海旁路1号A座,116.676863,23.362288
81,汕头市恒博科技工程有限公司,"116.670475,23.364943",公司企业;公司;建筑公司,金平区,光华路22号,116.670475,23.364943
82,江西赣南地质工程院汕头分院,"116.658800,23.395892",公司企业;公司;建筑公司,金平区,大学路与金环西路交叉口大丰商务楼2楼205号,116.6588,23.395892
83,汕头市凯阳建设工程有限公司,"116.663523,23.397395",公司企业;公司;建筑公司,金平区,升业路18号大家来创业园4层402,116.663523,23.397395
84,梅州市敏捷建筑工程有限公司,"116.680297,23.378816",公司企业;公司;建筑公司,金平区,潮汕路与竹堤路交叉口南220米,116.680297,23.378816
85,汕头市金韩建筑工程有限公司,"116.687431,23.409838",公司企业;公司;建筑公司,金平区,揭东路龙光尚悦轩,116.687431,23.409838
86,广东嘉键建设有限公司汕头分公司,"116.711290,23.371995",公司企业;公司;建筑公司,金平区,金东街道玫瑰园2栋105号,116.71129,23.371995
87,汕头市同平粮油食品公司,"116.672492,23.355368",公司企业;公司;建筑公司,金平区,杉排路42号01夹层,116.672492,23.355368
88,汕头市达濠建筑总公司(中山中路),"116.715619,23.356477",公司企业;公司;建筑公司,金平区,中山路148号金源大厦10层,116.715619,23.356477
89,信华,"116.651387,23.404271",公司企业;公司;建筑公司,金平区,大学路209号6楼,116.651387,23.404271
90,汕头市河浦建筑总公司,"116.663362,23.272430",公司企业;公司;建筑公司,濠江区,河浦大道,116.663362,23.27243
91,广东龙辉达建设有限公司,"116.695402,23.288300",公司企业;公司;建筑公司,濠江区,葛陈居委珠莘边路10号,116.695402,23.2883
92,豪江建设,"116.722639,23.284483",公司企业;公司;建筑公司,濠江区,府前路中段和记综合楼1703号房,116.722639,23.284483
93,汕头市启泰建筑工程有限公司,"116.775942,23.243476",公司企业;公司;建筑公司,濠江区,保税区创业中心4楼401,116.775942,23.243476
94,汕头市信远劳务有限公司,"116.680224,23.248164",公司企业;公司;建筑公司,濠江区,五一村河浦大道旁12号,116.680224,23.248164
95,广东永力建筑劳务分包有限公司,"116.718405,23.280954",公司企业;公司;建筑公司,濠江区,达南路与西园新路交叉口南200米,116.718405,23.280954
96,中敏建设工程有限公司汕头分公司,"116.768570,23.249012",公司企业;公司;建筑公司,濠江区,广达大道三寮幼儿园东北侧约220米,116.76857,23.249012
