ID,name,location,type,adname,address,X,Y
0,廣东汕头超声电子股份有限公司,"116.712258,23.425695",公司企业;公司;机械电子,龙湖区,万吉工业区龙江路12号,116.712258,23.425695
1,广东正超电气有限公司,"116.758818,23.377122",公司企业;公司;机械电子,龙湖区,珠津工业区珠津路23号,116.758818,23.377122
2,金超机械,"116.711040,23.415676",公司企业;公司;机械电子,龙湖区,万吉南二街万吉工业区汕头市第一中学,116.71104,23.415676
3,汕头大洋兴福塑料机械有限公司,"116.712100,23.420656",公司企业;公司;机械电子,龙湖区,万吉工业区南一街2号,116.7121,23.420656
4,利侨电子设备有限公司,"116.717791,23.388298",公司企业;公司;机械电子,龙湖区,科技东路18号,116.717791,23.388298
5,廣东金颖电气设备有限公司,"116.758869,23.362475",公司企业;公司;机械电子,龙湖区,内充公学校南侧工业区第2栋,116.758869,23.362475
6,佳力微电机,"116.721104,23.382518",公司企业;公司;机械电子,龙湖区,高新技术开发区科技东路2号威高大厦11楼,116.721104,23.382518
7,荣祥机械,"116.705491,23.403408",公司企业;公司;机械电子,龙湖区,广厦街道柯厝围码头路135号,116.705491,23.403408
8,东陵电子有限公司,"116.719016,23.410837",公司企业;公司;机械电子,龙湖区,金汕樟北路汕头海湾印刷有限公司4楼,116.719016,23.410837
9,大海肉丸机械,"116.701405,23.419220",公司企业;公司;机械电子,龙湖区,鸥汀街道龟桥南路与万吉南二街交叉路口04号,116.701405,23.41922
10,汕头大川机械有限公司,"116.707797,23.428081",公司企业;公司;机械电子,龙湖区,万吉工业区万吉北街C2栋建筑物一层厂房,116.707797,23.428081
11,万迪电子,"116.753278,23.394406",公司企业;公司;机械电子,龙湖区,金龙居委龙一巷1号宏艺广告对面二楼,116.753278,23.394406
12,优特机械,"116.760060,23.410167",公司企业;公司;机械电子,龙湖区,新溪镇金新路北中段东北侧一楼2号厂房,116.76006,23.410167
13,汕头市美高乐电子有限公司,"116.738358,23.393155",公司企业;公司;机械电子,龙湖区,龙新工业区浦江路63号,116.738358,23.393155
14,恒丰机电,"116.754189,23.376167",公司企业;公司;机械电子,龙湖区,站前南路B48号,116.754189,23.376167
15,众业达电气股份有限公司,"116.759332,23.378684",公司企业;公司;机械电子,龙湖区,珠津工业区珠津一横街1号,116.759332,23.378684
16,汕头市吉祥电子科技有限公司,"116.733900,23.374903",公司企业;公司;机械电子,龙湖区,珠池路珠华工业区4栋6层,116.7339,23.374903
17,同盛金机械,"116.719452,23.441779",公司企业;公司;机械电子,龙湖区,蔡社工业区东昇街9号1楼,116.719452,23.441779
18,汕头市东恒电子科技有限公司,"116.746378,23.383233",公司企业;公司;机械电子,龙湖区,黄山路长泰街6号2楼,116.746378,23.383233
19,鸿泰科技,"116.726987,23.395022",公司企业;公司;机械电子,龙湖区,嵩山北路官埭段11号,116.726987,23.395022
20,亿美机械,"116.772783,23.419023",公司企业;公司;机械电子,龙湖区,新溪街道北中十八户北兴路北450米,116.772783,23.419023
21,广东乐超机电科技公司,"116.746464,23.381567",公司企业;公司;机械电子,龙湖区,黄山路83号乐超大厦,116.746464,23.381567
22,超优视电子科技有限公司,"116.729040,23.364272",购物服务;家电电子卖场;数码电子|公司企业;公司;机械电子,龙湖区,朝阳庄中区22栋104号,116.72904,23.364272
23,众业达电器设备有限公司,"116.759588,23.379702",公司企业;公司;机械电子,龙湖区,珠津一横街1号,116.759588,23.379702
24,汕头市诚煜机电有限公司,"116.757036,23.387160",公司企业;公司;机械电子,龙湖区,珠津工业区珠津一街8号,116.757036,23.38716
25,汕头市泰华电子有限公司,"116.755529,23.385530",公司企业;公司;机械电子,龙湖区,新津街道珠津工业区北区韶山路7号,116.755529,23.38553
26,汕头市典润机电设备有限公司,"116.712288,23.416485",公司企业;公司;机械电子,龙湖区,兴安路与万吉南二街交叉口南220米,116.712288,23.416485
27,汕头市伟力塑料机械厂有限公司,"116.729259,23.38735",公司企业;公司;机械电子,龙湖区,衡山路东二街9号,116.729259,23.38735
28,汕头市科润机电设备有限公司,"116.778685,23.378064",公司企业;公司;机械电子,龙湖区,西南村下十合中路南五巷10号,116.778685,23.378064
29,通力机械制造有限公司(万吉南二街),"116.713040,23.419333",公司企业;公司;机械电子,龙湖区,万吉工业区南二街6号cd幢厂房,116.71304,23.419333
30,汕头市纬盛电子科技有限公司,"116.749075,23.439285",公司企业;公司;机械电子,龙湖区,外砂镇联业织造厂二楼,116.749075,23.439285
31,汕头市兴润机电设备有限公司,"116.712288,23.416485",公司企业;公司;机械电子,龙湖区,龟桥北路8号之8,116.712288,23.416485
32,汕头市鑫豫恒机械设备有限公司,"116.789168,23.379824",公司企业;公司;机械电子,龙湖区,太湖路,116.789168,23.379824
33,汕头市信音电子科技有限公司,"116.721115,23.403349",公司企业;公司;机械电子|公司企业;工厂;工厂,龙湖区,龙盛工业区盛业街6号E幢第2-3层,116.721115,23.403349
34,汕头市利祥机电设备工程有限公司,"116.727483,23.391112",公司企业;公司;机械电子,龙湖区,汕头市龙湖区紫虹东街花圃B9之二(即天主教堂后面),116.727483,23.391112
35,汕头市银信机电设备有限公司,"116.730187,23.406296",公司企业;公司;机械电子,龙湖区,华泰工业园B北座,116.730187,23.406296
36,汕头市合田机械制造有限公司,"116.727491,23.435333",公司企业;公司;机械电子,龙湖区,鸥汀街道渔五路渔五小学,116.727491,23.435333
37,广东视融达电子产品有限公司,"116.759839,23.375570",公司企业;公司;机械电子,龙湖区,珠津工业区珠津路30号弘大投资3楼,116.759839,23.37557
38,广东佰林电气设备厂有限公司,"116.730594,23.400588",公司企业;公司;机械电子,龙湖区,汕汾路国瑞·四季园西侧约230米,116.730594,23.400588
39,富力机器制造有限公司,"116.715161,23.419376",公司企业;公司;机械电子,龙湖区,万吉南二街7号,116.715161,23.419376
40,汕头市灵迪机械设备有限公司,"116.713155,23.432705",公司企业;公司;机械电子,龙湖区,万吉工业区,116.713155,23.432705
41,汕头市海精科机械有限公司(海河路),"116.716149,23.430214",公司企业;公司;机械电子,龙湖区,清河路北侧A座,116.716149,23.430214
42,汕头市龙华包装机械有限公司,"116.755705,23.367886",公司企业;公司;机械电子,龙湖区,泰山路火车客站南侧1号,116.755705,23.367886
43,协友超声塑胶机械实业有限公司,"116.764301,23.357812",公司企业;公司;机械电子,龙湖区,汕充路永安7号后面,116.764301,23.357812
44,汕头市树宏昌机械厂有限公司,"116.759991,23.385971",公司企业;公司;机械电子,龙湖区,珠津工业区三街9号,116.759991,23.385971
45,广东米勒电气,"116.662218,23.390057",公司企业;公司;机械电子,金平区,大学路升平第二工业区金业四路厂房,116.662218,23.390057
46,广东汕头超声电子股份有限公司(兴业路),"116.706614,23.372407",公司企业;公司;机械电子,金平区,兴业路21号,116.706614,23.372407
47,汕头华汕电子器件有限公司,"116.708315,23.372879",公司企业;公司;机械电子,金平区,金东街道兴业路27号,116.708315,23.372879
48,恒立机械,"116.701809,23.401291",公司企业;公司;机械电子,金平区,护提路浮东码头路尾,116.701809,23.401291
49,金海湾包装机械有限公司,"116.677134,23.4061",公司企业;公司;机械电子,金平区,金园工业区16-10-2片区,116.677134,23.4061
50,汕头市明发机械有限公司,"116.657435,23.390644",公司企业;公司;机械电子,金平区,大学路金平工业园升平第二片区3B3-13B3-2,116.657435,23.390644
51,汕头大丰机械,"116.658955,23.395613",公司企业;公司;机械电子|购物服务;专卖店;专营店|汽车服务;汽车服务相关;汽车服务相关,金平区,大学路与金环西路交叉口北100米,116.658955,23.395613
52,汕头市汕樟机械制造有限公司,"116.685778,23.396480",公司企业;公司;机械电子,金平区,岐山街道潮汕路寨头工业区A座,116.685778,23.39648
53,华尔斯(汕头)电气有限公司,"116.681650,23.393546",公司企业;公司;机械电子,金平区,潮汕路金园工业城二片区,116.68165,23.393546
54,汕头电机,"116.702704,23.368907",公司企业;公司;机械电子,金平区,新厦路5号品牌街,116.702704,23.368907
55,广东茂鑫机电有限公司,"116.674294,23.387318",公司企业;公司;机械电子,金平区,金园工业区潮阳路尾之2号,116.674294,23.387318
56,大洋地毯机械设备厂有限公司(沿河路),"116.665101,23.395853",公司企业;公司;机械电子,金平区,沿河路34号,116.665101,23.395853
57,盟星机械,"116.683207,23.398304",公司企业;公司;机械电子,金平区,潮汕路86号A座西北方向120米,116.683207,23.398304
58,汕头市信一塑机制造有限公司,"116.686818,23.401203",公司企业;公司;机械电子,金平区,潮汕路159号,116.686818,23.401203
59,安平食品包装机械有限公司,"116.664532,23.401212",公司企业;公司;机械电子,金平区,升业路13号升平工业区,116.664532,23.401212
60,恒一机械,"116.685777,23.392945",公司企业;公司;机械电子,金平区,岐山南楼工业区4号,116.685777,23.392945
61,汕头机械(集团)公司精艺机械厂,"116.700343,23.377327",公司企业;公司;机械电子|公司企业;工厂;工厂,金平区,党校路11号,116.700343,23.377327
62,汕头机械厂,"116.701098,23.369346",公司企业;公司;机械电子|公司企业;工厂;工厂,金平区,金新路95号,116.701098,23.369346
63,双丰机械,"116.677143,23.391748",公司企业;公司;机械电子,金平区,潮汕路西侧金园工业城内第五片区金兴二路(威信实业斜对面),116.677143,23.391748
64,汕头市茂杰机械有限公司,"116.692382,23.386407",公司企业;公司;机械电子,金平区,护堤路99号,116.692382,23.386407
65,华裕机械,"116.678036,23.404984",公司企业;公司;机械电子,金平区,金园工业区朝阳路39号,116.678036,23.404984
66,中达机电设备有限公司,"116.669674,23.373468",公司企业;公司;机械电子,金平区,光华北四路38号,116.669674,23.373468
67,非标机械,"116.675466,23.379224",公司企业;公司;机械电子,金平区,鮀新二巷与大学路交叉口西南140米,116.675466,23.379224
